device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664203447,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664209288,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664215125,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664221013,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.897,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664226824,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.188,40664232699,0,0,0.000,0.000,0.000,0.000,
